PARAM,AVG_TIME,RUN,FAILED
1,4478.663,1,0
1,4507.818,2,0
1,4335.596,3,0
10,10796.305,1,0
10,6565.79,2,0
10,5411.242,3,0
20,17945.683,1,0
20,6925.472,2,0
20,6305.936,3,0
50,11987.38,1,111
50,11409.784,2,219
50,12128.634,3,279
100,11692.662,1,10923
100,13389.475,2,8941
100,11279.845,3,11123
1000,15995.736,1,2553
1000,25965.58,2,2695
1000,18156.738,3,2698
